(-18.11997045836087, -194.56205143751086)
(16.744620626775944, -179.78074702470002)
(39.035887919242235, -156.27577437576366)
(46.70578327815592, -131.19208312832455)
(41.63550197414533, -111.91396395712043)
(29.338678426932344, -103.80728151384886)
(17.31899408721767, -108.44042874633027)
(12.609927292119135, -123.07425261827157)
(19.448044800963025, -141.71082734493933)
(38.03015883708329, -157.31072368982544)
(64.85115828596895, -164.2544747329392)
(94.41181876254987, -160.00729127675382)
(121.46017740958618, -145.3232363815674)
(142.69749093920805, -123.03013041040077)
(157.17048320462058, -96.13230132555135)
(165.26055720213594, -66.3063835581118)
(166.93723324439483, -33.658900346807215)
(160.3847060144503, 2.0601190682132575)
(141.9900088147517, 39.419119887167994)
(108.018044170042, 73.63764879913224)
(57.38564429111206, 96.47313777524131)
(-5.775330301589457, 98.20849060908076)
(-71.22379565739219, 71.27970564000468)
(-124.28038522048044, 14.162984181672307)
(-149.8839741509207, -66.23547638668194)
(-137.72177034870717, -155.04024847033423)
(-86.45391441395968, -232.9981232418227)
(-5.199640255526672, -282.1665340808196)
(88.58693796563425, -291.6806305256288)
(174.31292601225874, -261.38427825223624)
(234.7033784040211, -201.836397123355)
(261.12791245153954, -130.586500411054)
(255.79540087380224, -66.08729145059533)
(230.03497221343483, -21.554265651898692)
(199.4315258006987, -1.0839854239616145)
(177.81128619237163, 0.6045483683618258)
(172.45812959735193, -5.064766951537759)
(182.3285423158579, -5.722525981537538)
(199.7010908873107, 7.025884136795224)
(214.23699264894753, 34.92398118354399)
(217.48307467737598, 73.48988220102927)
(205.8206205111244, 114.97377337297378)
(180.73771262769597, 152.1825266660929)
(146.65206266219715, 181.23847487255256)
(107.69432150178343, 202.00279816309984)
(65.31806450702426, 216.15874911812625)
(18.11466205995278, 224.20064554416587)
(-35.98923712840475, 223.19646886410666)
(-96.30752417007648, 206.86124952324474)
(-156.70564121168624, 168.32292072572403)
(-205.45595683399435, 104.51450734582234)
(-228.34715214121886, 20.08603389422728)
(-214.1790783367513, -71.36089746284296)
(-160.4431221913116, -149.93063015456224)
(-76.5596000810349, -195.5189550131768)
(17.203443652435706, -195.21337447497845)
(95.31899188105604, -149.03657766544902)
(135.35421984587117, -71.44421318900706)
(126.00801848497053, 12.468122932299023)
(71.63504374217793, 74.98838498978387)
(-8.719473448091126, 95.19155522668)
(-87.64407919457918, 66.1768453829742)
(-138.77938069127637, -2.670995690283421)
(-145.79503926450752, -89.30071993219985)
(-107.53484019201181, -167.09225839525044)
(-37.459313558979716, -214.27620015773053)
(42.20938430553147, -221.04576680495725)
(109.14844998585654, -191.73817169952736)
(148.8758245726971, -141.51998272865563)
(158.8846919748239, -89.25066228269162)
(147.58600136076043, -49.679476165688904)
(128.89816874706486, -28.24513937037688)
(115.11466750318232, -20.47739457838287)
(111.28425469400113, -15.920905472842747)
(113.52381653063607, -4.528843431965171)
(111.8368246338189, 17.540178662645296)
(95.9604725037398, 45.42024899609795)
(61.41707741427473, 67.46808771678018)
(12.884995075678692, 70.71508909710282)
(-36.75781389858846, 47.31474299086326)
(-71.39018253588553, -1.0136104777287436)
(-78.44877221049866, -62.66751772563465)
(-54.549050931248125, -120.2622521334348)
(-7.37544393363349, -157.46850891442529)
(47.102317974662256, -165.66354438112526)
(90.9955946688489, -147.50821672791363)
(111.78647557413986, -115.86031258987467)
(107.46194798572131, -88.4262255663088)
(87.32176207690125, -80.37098064394544)
(68.12310974419154, -97.9658621000988)
(67.18648638261293, -135.89272047268054)
(95.33210115523876, -179.25961607830178)
(152.52436831616174, -209.4029645876124)
(227.8968076201151, -211.0122054615815)
(303.95810418475537, -177.66062106223472)
(363.0634956475106, -113.62066362536953)
(393.40534496411607, -31.49962394303763)
(392.1565689958567, 52.995930021360195)
(364.7756562194337, 126.74446679848103)
(321.2078457251953, 182.92317024701345)
(271.0161088949791, 221.40131328700465)
(219.7860984402862, 246.076513595125)
(168.37034804056913, 260.8224113025094)
(115.06301684414706, 266.2784572144363)
(59.32863803717737, 259.1947089620781)
(4.9320933080728615, 234.7089621484061)
(-39.40877786075069, 190.415170880958)
(-62.529412672367826, 130.09627354349996)
(-55.597771720838246, 65.01125077869051)
(-17.069120137401693, 11.657586718952093)
(44.566504240255284, -13.475066194792987)
(111.82799610857518, -0.19887286693949413)
(163.10517094712355, 50.63200651783458)
(179.71942451086636, 126.06445111418185)
(152.5421311186095, 204.3950175130167)
(85.58409125672495, 261.8892537325307)
(-4.910278910364369, 280.4663026528371)
(-95.60544996077624, 253.53136118849056)
(-163.57739199595855, 187.84897440582918)
(-193.44369734669624, 100.87732961550623)
(-181.61893645720303, 14.692351285235635)
(-136.3774850511947, -51.168035834542295)
(-74.02864393308484, -85.3668489346075)
(-12.901817737175142, -87.12094435656927)
(32.530599488957634, -64.81000313677293)
(55.383301979974625, -31.820159010432366)
(56.98156250161677, -1.4796444330480973)
(44.702428839469334, 17.004031126516793)
(28.330924284106004, 20.392435282613143)
(16.53465322025872, 10.89969991317551)
(14.667720987999315, -5.904483102149516)
(24.298026173875005, -23.55882892234508)
(44.03761315073923, -36.51029834572195)
(70.81400479911532, -40.82709344669401)
(100.79907222235258, -34.075130782692405)
(129.6883609244917, -14.997747177092169)
(152.58892021399313, 16.42298882853479)
(164.10083545250572, 58.37458576322193)
(159.08945730888783, 106.46683967605412)
(134.19825759789114, 153.50611365456885)
(89.60035495177796, 190.3593700004464)
(30.146055998412095, 207.9888788070797)
(-34.85304380579451, 200.1129480710847)
(-93.45865686877754, 165.50949368264062)
(-134.11143423040673, 108.97328665701482)
(-148.7934637549059, 40.402949740324736)
(-135.18692381349314, -27.76349747172076)
(-97.03188257447451, -83.8624987183829)
(-42.60819378697197, -119.86151333100264)
(17.97903967190773, -132.7716767930704)
(75.58925341156632, -124.27498962370595)
(123.86083125247177, -98.99330723006324)
(159.53891760356368, -62.359785026856144)
(181.54688592097494, -19.106215543981413)
(189.61285638953532, 27.060107313423224)
(183.40097953552385, 72.72047182600836)
(162.72889875613902, 113.6898134481131)
(128.76680548767152, 144.58333933398436)
(85.46249600235907, 159.62311944805592)
(40.16608990039049, 154.60654019700155)
(2.7034634390831016, 129.23241445679878)
(-17.133604506091938, 88.60199350857751)
(-12.881813287366178, 42.90532453831426)
(15.84780431097715, 5.022060245037433)
(62.45431014215839, -13.297515832007175)
(114.88254162415367, -5.283625111989784)
(159.2266095359462, 28.507875293001483)
