(15.764952523172205, -17.112891670226393)
(18.29324222831176, 8.026390918545019)
(3.6515794114251356, 26.920739638515627)
(-19.9058451351606, 30.4186142715892)
(-40.32650557894681, 16.541897963663708)
(-46.97484485649279, -8.69471337036174)
(-35.285189166532376, -33.82761555050602)
(-8.907533980367987, -46.83337786882591)
(21.589758132346997, -40.35790259879738)
(42.983246976991325, -15.105874357557191)
(44.906443765595334, 20.06457256113653)
(24.34263524973194, 51.456828602655435)
(-12.790513006992171, 65.96382021597505)
(-53.686071402210686, 56.4130460984159)
(-83.55834752477277, 24.626063274690836)
(-91.45992161755203, -19.1070084176581)
(-74.64123555202997, -59.984119010461995)
(-39.65145570608539, -84.51398532783735)
(0.30937779694047407, -85.85302444037559)
(30.74781522239895, -66.47393929920807)
(41.784265676878, -37.0496253736038)
(32.201903255604826, -11.970678674721484)
(9.962401104550636, -3.29328571258311)
(-11.063619555745184, -15.572059473335077)
(-16.86737748521656, -43.696779662300614)
(0.7354821209456048, -74.65480243690256)
(40.35711922346853, -92.5649555332947)
(91.03959343913255, -85.01068007009852)
(136.05339444225524, -48.17100862526709)
(159.03316037747166, 11.282037457158662)
(150.07094903575944, 78.2752590720993)
(109.41498992457193, 134.60458918941112)
(47.37628897643927, 165.34217831359288)
(-19.464137947798577, 163.9262720315589)
(-74.22632619998409, 134.03584938155052)
(-105.55558338849171, 87.63805197760321)
(-111.09753250016587, 40.09008340523916)
(-97.3999223687763, 4.286272768279659)
(-76.44351887786655, -13.85943259802297)
(-60.30632737478903, -16.908771075677425)
(-56.136760043723015, -13.927396441507375)
(-63.41005660033352, -15.974565543287966)
(-74.47655782515318, -30.946469419577106)
(-78.08374247265183, -59.85756329767289)
(-64.39558240660162, -96.01757569881602)
(-29.486229407311296, -127.38928311219613)
(22.461000789021575, -141.16720848895065)
(80.09200885964066, -128.78200009485442)
(128.58236190066216, -89.41314253748203)
(154.6901080706438, -30.70138636588277)
(151.2834350293051, 33.56911423871374)
(119.71461809529373, 87.9260495062776)
(69.25088936702791, 120.16159652594352)
(13.862569447363853, 125.02836055894912)
(-32.40394347921871, 105.4514098760981)
(-59.80425339525115, 70.96884396189853)
(-65.54353214469842, 34.10113845875273)
(-53.908432579512734, 6.02758622642043)
(-34.025445769004094, -6.904849415785186)
(-16.200286089368756, -4.713982761318718)
(-8.211759333473587, 7.0059694999067545)
(-12.840983233790475, 19.722973665322478)
(-27.384766275811913, 25.38154480526588)
(-45.15113088061365, 19.33685573427342)
(-58.24492285587631, 1.8230164195585346)
(-60.55789534931117, -22.437849119970267)
(-49.89411044206483, -46.197004267278665)
(-28.549983982272018, -62.39487446016699)
(-2.26466366418785, -66.61422949854385)
(21.96314334140392, -58.424881542612106)
(38.3331438669787, -41.22986547212074)
(44.084465565648, -20.78351419372172)
(40.11367846681241, -3.012158307526004)
(30.246197949122458, 8.028288232444774)
(19.532008815939076, 11.33349210881714)
(12.2647255877819, 8.911439461629243)
(10.474820083065183, 4.637053074329906)
(13.419155154500945, 2.5172400894884532)
(18.178849304235925, 5.068263589776926)
(21.04877451226131, 12.416539183202339)
(19.118753329814254, 22.41417212751018)
